filename x1 y1 x2 y2 x3 y3
uranus.Ks.147-reduc-clean-cut.fits 390.98987978736733 313.74075491720293 361.21338754103107 209.15584886493787 380.0940830285137 882.2965854740249
uranus.Ks.150-reduc-clean-cut.fits 391.13482936489424 320.1356039304561 361.79683789604115 204.90565703059727 380.50931609235414 879.1461920013036
uranus.Ks.159-reduc-clean-cut.fits 391.81500511950895 340.7755205022464 363.69218671990626 189.56389101998337 380.90979309926956 866.1132242150218
uranus.Ks.161-reduc-clean-cut.fits 390.84954352748963 346.48393647040325 362.97049635105554 185.79876147047483 379.8703646321547 863.0049083691952
uranus.Ks.162-reduc-clean-cut.fits 391.261974753357 347.7907908747644 363.5519254477661 185.45429789937953 380.40456937617444 862.6316134305779
uranus.Ks.163-reduc-clean-cut.fits 391.6731484049725 348.3364289217395 364.1719790243387 184.68302896974316 380.3963062201693 861.3758386078234
uranus.Ks.164-reduc-clean-cut.fits 391.6861238642883 352.9889449736485 364.34923027496535 181.89421683550137 380.1761697799157 859.0412057538649
uranus.Ks.165-reduc-clean-cut.fits 391.3041667219732 353.90468053168735 363.59406066099586 180.8439389813472 379.43704521718087 857.2249861955756
uranus.Ks.166-reduc-clean-cut.fits 390.918418583189 354.3790860782188 363.4948119059965 179.98555991594287 379.9518308638112 857.4385077008767
uranus.Ks.167-reduc-clean-cut.fits 390.6464085478132 359.64029972313926 363.36006348993635 177.0675037091616 379.10162525750303 854.1558085703813
uranus.Ks.168-reduc-clean-cut.fits 390.5359728040933 360.6065589921605 363.33369592723767 176.263045574674 379.297611708624 853.4667293913758
uranus.Ks.169-reduc-clean-cut.fits 390.81012798580707 361.9229984800726 363.72148450367297 175.71207509185984 379.39866250867624 853.3515786796982
